[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CREATE] from=0x450595, to=0x246d37, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x246D37) -> None
  [2][CREATE] from=0x450595, to=0x03c2e5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x03c2E5) -> None
  [2][CREATE] from=0x450595, to=0x9bd4f3, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9bd4F3) -> None
  [2][CREATE] from=0x450595, to=0xe4614f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xe4614F) -> None
  [2][CREATE] from=0x450595, to=0xce5224, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xce5224) -> None
  [2][CREATE] from=0x450595, to=0x926a9c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x926a9c) -> None
  [2][CREATE] from=0x450595, to=0xbdc8ec, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xbDc8Ec) -> None
  [2][CREATE] from=0x450595, to=0x9fe772, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9FE772) -> None
  [2][CREATE] from=0x450595, to=0x3c7033, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3c7033) -> None
  [2][CREATE] from=0x450595, to=0x2151fe, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2151Fe) -> None
  [2][CREATE] from=0x450595, to=0xc68f8a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc68F8A) -> None
  [2][CREATE] from=0x450595, to=0x0a073e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x0A073e) -> None
  [2][CREATE] from=0x450595, to=0xf11ced, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf11ced) -> None
  [2][CREATE] from=0x450595, to=0x90b034, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x90B034) -> None
  [2][CREATE] from=0x450595, to=0xcdffdd, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xCdFFDD) -> None
  [2][CREATE] from=0x450595, to=0x66141c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x66141c) -> None
  [2][CREATE] from=0x450595, to=0x013b44, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x013b44) -> None
  [2][CREATE] from=0x450595, to=0x12447e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x12447e) -> None
  [2][CREATE] from=0x450595, to=0x5cdbdb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x5CDbdb) -> None
  [2][CREATE] from=0x450595, to=0x372690, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x372690) -> None
  [2][CREATE] from=0x450595, to=0xf5c845, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF5c845) -> None
  [2][CREATE] from=0x450595, to=0x060557, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x060557) -> None
  [2][CREATE] from=0x450595, to=0x7795b2, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7795b2) -> None
  [2][CREATE] from=0x450595, to=0x7b25c1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7b25c1) -> None
  [2][CREATE] from=0x450595, to=0x8affe6, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8AfFE6) -> None
  [2][CREATE] from=0x450595, to=0x3c8fb3, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3c8fb3) -> None
  [2][CREATE] from=0x450595, to=0x50e327, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x50E327) -> None
  [2][CREATE] from=0x450595, to=0x84174d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x84174d) -> None
  [2][CREATE] from=0x450595, to=0xe57786, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE57786) -> None
  [2][CREATE] from=0x450595, to=0x092d10, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x092D10) -> None
  [2][CREATE] from=0x450595, to=0xe7e1dc, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE7E1dc) -> None
  [2][CREATE] from=0x450595, to=0x4b91b8, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x4b91b8) -> None
  [2][CREATE] from=0x450595, to=0xa94635, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xa94635) -> None
  [2][CREATE] from=0x450595, to=0x2f5520, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2f5520) -> None
  [2][CREATE] from=0x450595, to=0xa22b1d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xA22B1D) -> None
  [2][CREATE] from=0x450595, to=0x7c5aca, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7C5ACA) -> None
  [2][CREATE] from=0x450595, to=0xbb5a21, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xbB5A21) -> None
  [2][CREATE] from=0x450595, to=0xc6509f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc6509F) -> None
  [2][CREATE] from=0x450595, to=0x2cdeec, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2CDeec) -> None
  [2][CREATE] from=0x450595, to=0x61050d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x61050d) -> None
  [2][CREATE] from=0x450595, to=0x6af18b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6Af18B) -> None
  [2][CREATE] from=0x450595, to=0x69d313, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x69D313) -> None
  [2][CREATE] from=0x450595, to=0xe38dc5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE38DC5) -> None
  [2][CREATE] from=0x450595, to=0x8128fb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8128fB) -> None
  [2][CREATE] from=0x450595, to=0xbf56be, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xBf56BE) -> None
  [2][CREATE] from=0x450595, to=0x08ed81, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x08eD81) -> None
  [2][CREATE] from=0x450595, to=0xe66935, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xe66935) -> None
  [2][CREATE] from=0x450595, to=0x356b7d, atInversebrahint248() -> 0x608060
