[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x152333) -> None
  [2][CREATE] from=0x450595, to=0x6e7b13, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6E7B13) -> None
  [2][CREATE] from=0x450595, to=0xe0e726, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE0E726) -> None
  [2][CREATE] from=0x450595, to=0x0a4795, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x0A4795) -> None
  [2][CREATE] from=0x450595, to=0xf8e81c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf8e81c) -> None
  [2][CREATE] from=0x450595, to=0xc8a41d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC8a41D) -> None
  [2][CREATE] from=0x450595, to=0x767436, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x767436) -> None
  [2][CREATE] from=0x450595, to=0x62f266, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x62f266) -> None
  [2][CREATE] from=0x450595, to=0x37243d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x37243D) -> None
  [2][CREATE] from=0x450595, to=0xc36154, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC36154) -> None
  [2][CREATE] from=0x450595, to=0x05221a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x05221a) -> None
  [2][CREATE] from=0x450595, to=0x525644, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x525644) -> None
  [2][CREATE] from=0x450595, to=0x1d7162, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1d7162) -> None
  [2][CREATE] from=0x450595, to=0xee92ac, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xEE92AC) -> None
  [2][CREATE] from=0x450595, to=0x9fcdfd, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9fcDFD) -> None
  [2][CREATE] from=0x450595, to=0x81bee1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x81beE1) -> None
  [2][CREATE] from=0x450595, to=0x5dc673, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x5dC673) -> None
  [2][CREATE] from=0x450595, to=0xcb951e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xCb951E) -> None
  [2][CREATE] from=0x450595, to=0x78a3f9, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x78a3F9) -> None
  [2][CREATE] from=0x450595, to=0xb87554, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xB87554) -> None
  [2][CREATE] from=0x450595, to=0xa0b2e9, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xA0B2e9) -> None
  [2][CREATE] from=0x450595, to=0x276cee, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x276CEe) -> None
  [2][CREATE] from=0x450595, to=0xcbd553, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xcbD553) -> None
  [2][CREATE] from=0x450595, to=0xc2cf2d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC2cF2D) -> None
  [2][CREATE] from=0x450595, to=0xe9f2de, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE9F2DE) -> None
  [2][CREATE] from=0x450595, to=0x6c1774, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6C1774) -> None
  [2][CREATE] from=0x450595, to=0x51f60f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x51F60F) -> None
  [2][CREATE] from=0x450595, to=0x9f914f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9f914F) -> None
  [2][CREATE] from=0x450595, to=0x55c601, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x55C601) -> None
  [2][CREATE] from=0x450595, to=0x1f496a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1f496a) -> None
  [2][CREATE] from=0x450595, to=0xbabb6f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xbAbB6F) -> None
  [2][CREATE] from=0x450595, to=0x031f57, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x031F57) -> None
  [2][CREATE] from=0x450595, to=0x9b93ea, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9B93Ea) -> None
  [2][CREATE] from=0x450595, to=0x2b81ff, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2b81FF) -> None
  [2][CREATE] from=0x450595, to=0xdd7b20, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xDD7b20) -> None
  [2][CREATE] from=0x450595, to=0x8dec41, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8dEC41) -> None
  [2][CREATE] from=0x450595, to=0x48deed, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x48DeEd) -> None
  [2][CREATE] from=0x450595, to=0x99c6df, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x99c6df) -> None
  [2][CREATE] from=0x450595, to=0x53bd6a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x53bd6A) -> None
  [2][CREATE] from=0x450595, to=0x8b09a6, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8b09A6) -> None
  [2][CREATE] from=0x450595, to=0xc108be, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc108be) -> None
  [2][CREATE] from=0x450595, to=0x0e04f0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x0e04f0) -> None
  [2][CREATE] from=0x450595, to=0x0577af, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x0577Af) -> None
  [2][CREATE] from=0x450595, to=0xc8f919, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc8F919) -> None
  [2][CREATE] from=0x450595, to=0x3e4edb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3E4Edb) -> None
  [2][CREATE] from=0x450595, to=0x30a402, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x30a402) -> None
  [2][CREATE] from=0x450595, to=0xa27df1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xa27DF1) -> None
  [2][CREATE] from=0x450595, to=0x047cac, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x047CAc) -> None
  [2][CREATE] from=0x450595, to=0xf520e9, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf520E9) -> None
  [2][CREATE] from=0x450595, to=0xab587c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xab587c) -> None
  [2][CREATE] from=0x450595, to=0xf47c90, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF47C90) -> None
  [2][CREATE] from=0x450595, to=0xc930de, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC930dE) -> None
  [2][CREATE] from=0x450595, to=0x8000f5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8000f5) -> None
  [2][CREATE] from=0x450595, to=0x30c254, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x30c254) -> None
  [2][CREATE] from=0x450595, to=0x076414, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x076414) -> None
  [2][CREATE] from=0x450595, to=0xb5aa0e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xb5aa0e) -> None
  [2][CREATE] from=0x450595, to=0x7b45b4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7B45b4) -> None
  [2][CREATE] from=0x450595, to=0x6cdcde, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6cdCDe) -> None
  [2][CREATE] from=0x450595, to=0xd96aa5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xd96aA5) -> None
  [2][CREATE] from=0x450595, to=0xb82bff, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xB82BFf) -> None
  [2][CREATE] from=0x450595, to=0x5fb9ae, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x5FB9Ae) -> None
  [2][CREATE] from=0x450595, to=0x45c5a0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x45C5A0) -> None
  [2][CREATE] from=0x450595, to=0x3738e1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3738E1) -> None
  [2][CREATE] from=0x450595, to=0x0ad738, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x0AD738) -> None
  [2][CREATE] from=0x450595, to=0x86c19e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x86c19e) -> None
  [2][CREATE] from=0x450595, to=0xc3bd72, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC3bD72) -> None
  [2][CREATE] from=0x450595, to=0xfd8193, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xfd8193) -> None
  [2][CREATE] from=0x450595, to=0x4bc506, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x4bC506) -> None
  [2][CREATE] from=0x450595, to=0xd6b9db, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xd6B9db) -> None
  [2][CREATE] from=0x450595, to=0xc30733, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC30733) -> None
  [2][CREATE] from=0x450595, to=0x8b2eec, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8B2eeC) -> None
  [2][CREATE] from=0x450595, to=0x307f51, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x307F51) -> None
  [2][CREATE] from=0x450595, to=0x9d79db, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9D79dB) -> None
  [2][CREATE] from=0x450595, to=0xc0cc17, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC0cC17) -> None
  [2][CREATE] from=0x450595, to=0x911fb2, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x911Fb2) -> None
  [2][CREATE] from=0x450595, to=0xad3dbc, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xad3DbC) -> None
  [2][CREATE] from=0x450595, to=0x0f7eac, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x0F7eAC) -> None
  [2][CREATE] from=0x450595, to=0xfe0cef, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xfe0CeF) -> None
  [2][CREATE] from=0x450595, to=0xbc2427, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xbc2427) -> None
  [2][CREATE] from=0x450595, to=0xc71f57, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC71F57) -> None
  [2][CREATE] from=0x450595, to=0x27880a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x27880a) -> None
  [2][CREATE] from=0x450595, to=0xf68e0c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf68e0C) -> None
  [2][CREATE] from=0x450595, to=0x1f91a5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1f91A5) -> None
  [2][CREATE] from=0x450595, to=0xb2911a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xB2911A) -> None
  [2][CREATE] from=0x450595, to=0xe86ee1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE86eE1) -> None
  [2][CREATE] from=0x450595, to=0xc6dda3, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC6DDA3) -> None
  [2][CREATE] from=0x450595, to=0x33ec93, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x33ec93) -> None
  [2][CREATE] from=0x450595, to=0xc3c9a7, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc3C9a7) -> None
  [2][CREATE] from=0x450595, to=0xa864b1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xa864B1) -> None
  [2][CREATE] from=0x450595, to=0xe4e8b4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xe4e8B4) -> None
  [2][CREATE] from=0x450595, to=0xf99bd0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF99Bd0) -> None
  [2][CREATE] from=0x450595, to=0x34ca95, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x34CA95) -> None
  [2][CREATE] from=0x450595, to=0xc9de4c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc9De4C) -> None
  [2][CREATE] from=0x450595, to=0xde1962, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xDe1962) -> None
  [2][CREATE] from=0x450595, to=0x9b4ac0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9B4ac0) -> None
  [2][CREATE] from=0x450595, to=0x6c0ea4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6C0ea4) -> None
  [2][CREATE] from=0x450595, to=0x2ddeeb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2ddeEB) -> None
  [2][CREATE] from=0x450595, to=0x341c6e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x341c6e) -> None
  [2][CREATE] from=0x450595, to=0xeefb2d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xEefB2D) -> None
  [2][CREATE] from=0x450595, to=0xe23272, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xE23272) -> None
  [2][CREATE] from=0x450595, to=0xf197fb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf197fB) -> None
  [2][CREATE] from=0x450595, to=0x58e8d5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x58E8d5) -> None
  [2][CREATE] from=0x450595, to=0xaec6f1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xaeC6F1) -> None
  [2][CREATE] from=0x450595, to=0x6975d2, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6975D2) -> None
  [2][CREATE] from=0x450595, to=0x1a6365, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1a6365) -> None
  [2][CREATE] from=0x450595, to=0x4c3965, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x4c3965) -> None
  [2][CREATE] from=0x450595, to=0x021add, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x021ADD) -> None
  [2][CREATE] from=0x450595, to=0x877877, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x877877) -> None
  [2][CREATE] from=0x450595, to=0xa978b8, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xa978B8) -> None
  [2][CREATE] from=0x450595, to=0x7072bc, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7072BC) -> None
  [2][CREATE] from=0x450595, to=0x9d8b10, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9d8b10) -> None
  [2][CREATE] from=0x450595, to=0xca8751, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xca8751) -> None
  [2][CREATE] from=0x450595, to=0xf53f7b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF53F7b) -> None
  [2][CREATE] from=0x450595, to=0x298330, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x298330) -> None
  [2][CREATE] from=0x450595, to=0xee0de1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xEe0dE1) -> None
  [2][CREATE] from=0x450595, to=0xb04d2f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xb04d2f) -> None
  [2][CREATE] from=0x450595, to=0x86bec2, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x86bEc2) -> None
  [2][CREATE] from=0x450595, to=0x68fde9, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x68FDe9) -> None
  [2][CREATE] from=0x450595, to=0x54b25e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x54b25e) -> None
  [2][CREATE] from=0x450595, to=0x18fd77, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x18FD77) -> None
  [2][CREATE] from=0x450595, to=0x3584aa, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3584AA) -> None
  [2][CREATE] from=0x450595, to=0xb5e3f6, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xb5E3f6) -> None
  [2][CREATE] from=0x450595, to=0x780eaa, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x780EaA) -> None
  [2][CREATE] from=0x450595, to=0x3ae203, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3aE203) -> None
  [2][CREATE] from=0x450595, to=0x177a72, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x177A72) -> None
  [2][CREATE] from=0x450595, to=0x31f1cf, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x31f1cF) -> None
  [2][CREATE] from=0x450595, to=0x540af9, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x540aF9) -> None
  [2][CREATE] from=0x450595, to=0x322308, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x322308) -> None
  [2][CREATE] from=0x450595, to=0x28bc0c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x28BC0c) -> None
  [2][CREATE] from=0x450595, to=0x65ac5a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x65ac5A) -> None
  [2][CREATE] from=0x450595, to=0x7f1e5d, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x7f1E5D) -> None
  [2][CREATE] from=0x450595, to=0xc2ba56, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc2BA56) -> None
  [2][CREATE] from=0x450595, to=0x57de73, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x57De73) -> None
  [2][CREATE] from=0x450595, to=0x8c5f40, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8C5f40) -> None
  [2][CREATE] from=0x450595, to=0x1a49e8, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1a49e8) -> None
  [2][CREATE] from=0x450595, to=0xcc65b3, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xCC65B3) -> None
  [2][CREATE] from=0x450595, to=0xfdffcb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xfdFFcb) -> None
  [2][CREATE] from=0x450595, to=0x3b7f0f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x3b7F0F) -> None
  [2][CREATE] from=0x450595, to=0x9b8236, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x9B8236) -> None
  [2][CREATE] from=0x450595, to=0xc6cad5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC6CaD5) -> None
  [2][CREATE] from=0x450595, to=0xc5718a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC5718A) -> None
  [2][CREATE] from=0x450595, to=0x241029, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x241029) -> None
  [2][CREATE] from=0x450595, to=0xe7b482, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xe7b482) -> None
  [2][CREATE] from=0x450595, to=0xd99bf0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xD99bf0) -> None
  [2][CREATE] from=0x450595, to=0xfd3aa0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xFD3Aa0) -> None
  [2][CREATE] from=0x450595, to=0xc7042e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc7042e) -> None
  [2][CREATE] from=0x450595, to=0x616a2e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x616A2E) -> None
  [2][CREATE] from=0x450595, to=0xd7b8b5, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xd7b8b5) -> None
  [2][CREATE] from=0x450595, to=0xf2f73f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF2F73F) -> None
  [2][CREATE] from=0x450595, to=0xd64b3b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xd64b3B) -> None
  [2][CREATE] from=0x450595, to=0x6af30c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6af30C) -> None
  [2][CREATE] from=0x450595, to=0xcefbd7, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xcEFBd7) -> None
  [2][CREATE] from=0x450595, to=0x1662a1, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1662a1) -> None
  [2][CREATE] from=0x450595, to=0xcc25a6, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xCc25a6) -> None
  [2][CREATE] from=0x450595, to=0xce6e25, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xCE6e25) -> None
  [2][CREATE] from=0x450595, to=0xa7fde2, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xA7fDE2) -> None
  [2][CREATE] from=0x450595, to=0xce31ce, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xCE31cE) -> None
  [2][CREATE] from=0x450595, to=0x208c29, atInversebrahint248() -> 0x608060
